time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-03-18,0.4,-5.5,3.6,0.0,0.0,27.0,5.6,20.4,1022.2,83.0,Szczecin
2024-03-19,3.3,-2.1,9.1,0.0,0.0,124.0,11.8,33.3,1023.2,566.0,Szczecin
2024-03-20,7.7,2.0,14.0,0.0,0.0,144.0,11.8,24.1,1020.3,143.0,Szczecin
2024-03-21,8.4,5.0,13.5,0.8,0.0,245.0,10.3,20.4,1018.0,2.0,Szczecin
2024-03-22,8.5,6.0,12.2,0.5,0.0,218.0,12.2,35.2,1012.9,0.0,Szczecin
2024-03-23,5.8,2.0,10.2,2.3,0.0,236.0,8.5,24.1,1004.0,45.0,Szczecin
2024-03-24,4.2,0.0,7.0,0.4,0.0,192.0,13.0,38.9,999.7,35.0,Szczecin
2024-03-25,5.0,-1.0,9.0,0.2,0.0,234.0,7.6,22.2,1002.1,117.0,Szczecin
2024-03-26,5.3,-2.3,12.9,2.5,0.0,118.0,17.4,46.3,1001.7,481.0,Szczecin
2024-03-27,11.9,6.7,17.0,0.0,0.0,115.0,22.2,38.9,990.6,529.0,Szczecin
2024-03-28,11.3,7.0,14.0,0.0,0.0,174.0,20.0,44.5,987.6,158.0,Szczecin
2024-03-29,10.3,4.0,15.0,0.0,0.0,170.0,13.3,38.9,999.5,123.0,Szczecin
2024-03-30,14.9,6.0,22.0,0.0,0.0,111.0,11.8,35.2,1000.7,430.0,Szczecin
2024-03-31,14.0,7.0,21.0,0.0,0.0,143.0,7.7,18.5,997.6,254.0,Szczecin
